"Positions for CUSTACCS as of 02:06 PM ET, 01/19/2026"

Monica ...819
"Symbol","Description","Qty (Quantity)","Price","Cost/Share","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type",
"AMD","ADVANCED MICRO DEVIC","1","=""$231.83""","$166.58","1.72%","=""$3.91""","$231.83","1.72%","$3.91","$166.58","39.17%","$65.25","D","No","N/A","0.08%","Equity",
"BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","150","=""$165.40""","$162.24","-3.24%","=""-$5.53""","$24,810.00","-3.24%","-$829.50","$24,335.54","1.95%","$474.46","-","No","N/A","8.5%","Equity",
"BILI","BILIBILI INC FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","1","=""$32.48""","$32.94","-1.93%","=""-$0.64""","$32.48","-1.93%","-$0.64","$32.94","-1.4%","-$0.46","-","No","N/A","0.01%","Equity",
"DASH","DOORDASH INC CLASS A","51","=""$205.32""","$217.45","-2.28%","=""-$4.79""","$10,471.32","-2.28%","-$244.29","$11,089.87","-5.58%","-$618.55","C","No","N/A","3.59%","Equity",
"FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","41","=""$171.80""","$162.70","-2.66%","=""-$4.70""","$7,043.80","-2.66%","-$192.70","$6,670.76","5.59%","$373.04","-","No","N/A","2.41%","Equity",
"INTC","INTEL CORP","1","=""$46.96""","$35.21","-2.81%","=""-$1.36""","$46.96","-2.81%","-$1.36","$35.21","33.37%","$11.75","B","No","N/A","0.02%","Equity",
"KKR","KKR & CO INC","190","=""$131.42""","$118.84","0.08%","=""$0.10""","$24,969.80","0.08%","$19.00","$22,579.50","10.59%","$2,390.30","D","No","N/A","8.55%","Equity",
"MSFT","MICROSOFT CORP","1","=""$459.86""","$496.89","0.7%","=""$3.20""","$459.86","0.7%","$3.20","$496.89","-7.45%","-$37.03","B","No","N/A","0.16%","Equity",
"MU","MICRON TECHNOLOGY INC","66","=""$362.75""","$314.67","7.76%","=""$26.12""","$23,941.50","7.76%","$1,723.92","$20,768.31","15.28%","$3,173.19","C","No","N/A","8.2%","Equity",
"NVDA","NVIDIA CORP","200","=""$186.23""","$185.92","-0.44%","=""-$0.82""","$37,246.00","-0.44%","-$164.00","$37,183.94","0.17%","$62.06","B","No","N/A","12.76%","Equity",
