"Realized Gain/Loss - Lot Details for All_Accounts as of Sat Mar 14  23:31:15 EDT 2026 from 01/01/2024 to 03/14/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Trading Book ...005","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"USO","UNITED STATES OIL","03/13/2026","03/11/2026","24","$114.46","$115.97","$2,747.04","$2,783.38","-$36.34","-1.305606852101%","","-$36.34","Short Term","$2,783.38","No","","03/13/2026","","","","","","",""
"USO","UNITED STATES OIL","03/13/2026","03/09/2026","1","$114.46","$121.82","$114.46","$121.82","$0.00","0%","","$0.00","Short Term","$121.82","Yes","$7.36","03/13/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","03/11/2026","03/09/2026","30","$413.20","$387.35","$12,395.99","$11,620.50","$775.49","6.673464997203%","","$775.49","Short Term","$11,620.50","No","","03/11/2026","","","","","","",""
"CRCL","CIRCLE INTERNET GROU A","02/27/2026","02/25/2026","20","$83.44","$72.68","$1,668.80","$1,453.66","$215.14","14.799884429647%","","$215.14","Short Term","$1,453.66","No","","02/27/2026","","","","","","",""
"ETN","EATON CORP PLC","02/26/2026","02/12/2026","20","$365.16","$392.40","$7,303.20","$7,848.00","-$544.80","-6.941896024465%","","-$544.80","Short Term","$7,848.00","No","","02/26/2026","","","","","","",""
"VRT","VERTIV HLDGS CO CLASS A","02/26/2026","02/26/2026","10","$245.65","$264.49","$2,456.52","$2,644.88","-$188.36","-7.121684159584%","","-$188.36","Short Term","$2,644.88","No","","02/26/2026","","","","","","",""
"CRCL","CIRCLE INTERNET GROU A","02/25/2026","02/25/2026","30","$79.08","$72.68","$2,372.39","$2,180.49","$191.90","8.800774137923%","","$191.90","Short Term","$2,180.49","No","","02/25/2026","","","","","","",""
"HOOD","ROBINHOOD MKTS INC CLASS A","02/23/2026","02/17/2026","100","$74.21","$75.55","$7,420.98","$7,555.00","$0.00","0%","","$0.00","Short Term","$7,555.00","Yes","$134.02","02/23/2026","","","","","","",""
"RKLB","ROCKET LAB CORP CLASS A","02/19/2026","02/18/2026","50","$73.95","$71.46","$3,697.49","$3,572.76","$124.73","3.491138503566%","","$124.73","Short Term","$3,572.76","No","","02/19/2026","","","","","","",""
"CRDO","CREDO TECHNOLOGY GRO","02/11/2026","02/10/2026","15","$124.37","$137.99","$1,865.55","$2,069.85","-$204.30","-9.870280455105%","","-$204.30","Short Term","$2,069.85","No","","02/11/2026","","","","","","",""
"CRDO","CREDO TECHNOLOGY GRO","02/11/2026","02/10/2026","15","$123.86","$137.99","$1,857.90","$2,069.85","-$211.95","-10.239872454526%","","-$211.95","Short Term","$2,069.85","No","","02/11/2026","","","","","","",""
"LRCX","LAM RESH CORP","02/11/2026","02/11/2026","20","$233.73","$230.32","$4,674.60","$4,606.40","$68.20","1.480548801667%","","$68.20","Short Term","$4,606.40","No","","02/11/2026","","","","","","",""
"U","UNITY SOFTWARE INC","02/11/2026","02/09/2026","100","$21.94","$27.75","$2,194.14","$2,775.00","-$580.86","-20.931891891892%","","-$580.86","Short Term","$2,775.00","No","","02/11/2026","","","","","","",""
"U","UNITY SOFTWARE INC","02/11/2026","02/09/2026","100","$22.00","$27.75","$2,199.98","$2,775.00","-$575.02","-20.721441441441%","","-$575.02","Short Term","$2,775.00","No","","02/11/2026","","","","","","",""
"U","UNITY SOFTWARE INC","02/11/2026","02/09/2026","1","$22.02","$27.75","$22.02","$27.75","-$5.73","-20.648648648649%","","-$5.73","Short Term","$27.75","No","","02/11/2026","","","","","","",""
"APP","APPLOVIN CORP CLASS A","02/10/2026","02/10/2026","10","$471.00","$472.76","$4,710.00","$4,727.58","-$17.58","-0.371860444456%","","-$17.58","Short Term","$4,727.58","No","","02/10/2026","","","","","","",""
"CRWV","COREWEAVE INC A","02/10/2026","02/09/2026","60","$96.00","$95.40","$5,759.99","$5,724.00","$35.99","0.628756114605%","","$35.99","Short Term","$5,724.00","No","","02/10/2026","","","","","","",""
"SNDK","SANDISK CORP","02/09/2026","01/08/2026","1","$562.60","$319.86","$562.60","$319.86","$242.74","75.88945163509%","","$242.74","Short Term","$319.86","No","","02/09/2026","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monica ...819","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"AVGO","BROADCOM INC","03/11/2026","03/05/2026","30","$339.53","$333.58","$10,186.04","$10,007.40","$178.64","1.785079041509%","","$178.64","Short Term","$10,007.40","No","","03/11/2026","","","","","","",""
"MRVL","MARVELL TECHNOLOGY I","03/10/2026","03/06/2026","100","$93.01","$86.94","$9,300.67","$8,693.99","$606.68","6.978153874113%","","$606.68","Short Term","$8,693.99","No","","03/10/2026","","","","","","",""
"SHOP","SHOPIFY INC CLASS A","03/06/2026","01/28/2026","48","$129.00","$134.74","$6,191.98","$6,467.66","$19.11","0.295470077277%","","$19.11","Short Term","$6,467.66","Yes","$294.79","03/06/2026","$12,158.50","$741.48","6.098449644282%","","","$741.48","6.098449644281778%"
"SHOP","SHOPIFY INC CLASS A","03/06/2026","01/26/2026","1","$129.00","$133.31","$129.00","$133.31","-$4.31","-3.233065786513%","","-$4.31","Short Term","$133.31","No","","03/06/2026","$12,158.50","$741.48","6.098449644282%","","","$741.48","6.098449644281778%"
"SHOP","SHOPIFY INC CLASS A","03/06/2026","01/22/2026","25","$129.00","$137.16","$3,225.00","$3,429.02","-$204.02","-5.949804900526%","","-$204.02","Short Term","$3,429.02","No","","03/06/2026","$12,158.50","$741.48","6.098449644282%","","","$741.48","6.098449644281778%"
"SHOP","SHOPIFY INC CLASS A","03/06/2026","01/21/2026","25","$129.00","$145.08","$3,225.00","$3,626.94","$0.00","0%","","$0.00","Short Term","$3,626.94","Yes","$401.94","03/06/2026","$12,158.50","$741.48","6.098449644282%","","","$741.48","6.098449644281778%"
"SHOP","SHOPIFY INC CLASS A","03/06/2026","10/01/2025","1","$129.00","$130.69","$129.00","$130.69","-$1.69","-1.293136429719%","","-$1.69","Short Term","$130.69","No","","03/06/2026","$12,158.50","$741.48","6.098449644282%","","","$741.48","6.098449644281778%"
"AAPL","APPLE INC","03/02/2026","02/03/2026","20","$261.58","$269.69","$5,231.68","$5,393.80","$0.00","0%","","$0.00","Short Term","$5,393.80","Yes","$162.12","03/02/2026","","","","","","",""
"EWJ","ISHARES MSCI JAPAN ETF","03/02/2026","02/09/2026","100","$91.57","$91.01","$9,157.48","$9,100.70","$56.78","0.623908051029%","","$56.78","Short Term","$9,100.70","No","","03/02/2026","","","","","","",""
