"Realized Gain/Loss - Lot Details for Jia as of Mon Jan 19  18:59:43 EDT 2026 from 01/01/2026 to 01/19/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","01/16/2026","11/13/2025","200","$20.86","$18.89","$4,172.96","$3,777.00","$395.96","10.48345247551%","","$395.96","Short Term","$3,777.00","No","","01/16/2026","","","","","","",""
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","01/16/2026","11/05/2025","100","$20.86","$18.80","$2,086.48","$1,879.76","$206.72","10.997148572158%","","$206.72","Short Term","$1,879.76","No","","01/16/2026","","","","","","",""
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","01/16/2026","10/24/2025","100","$20.86","$19.09","$2,086.48","$1,908.63","$177.85","9.318202061164%","","$177.85","Short Term","$1,908.63","No","","01/16/2026","","","","","","",""
"COIN","COINBASE GLOBAL INC CLASS A","01/15/2026","12/05/2025","25","$246.63","$251.54","$6,165.74","$6,288.58","-$122.84","-1.953382162587%","","-$122.84","Short Term","$6,288.58","No","","01/15/2026","$12,389.80","-$58.31","-0.470629065844%","","","-$58.31","-0.470629065844485%"
"COIN","COINBASE GLOBAL INC CLASS A","01/15/2026","12/01/2025","25","$246.63","$256.25","$6,165.75","$6,406.37","-$240.62","-3.755949156855%","","-$240.62","Short Term","$6,406.37","No","","01/15/2026","$12,389.80","-$58.31","-0.470629065844%","","","-$58.31","-0.470629065844485%"
"COIN","COINBASE GLOBAL INC CLASS A","01/14/2026","12/21/2025","25","$257.50","$264.30","$6,437.49","$6,607.55","-$170.06","-2.573722484128%","","-$170.06","Short Term","$6,607.55","No","","01/14/2026","$12,389.80","$485.19","3.916043842516%","","","$485.19","3.916043842515618%"
"COIN","COINBASE GLOBAL INC CLASS A","01/14/2026","12/17/2025","25","$257.50","$268.52","$6,437.50","$6,713.03","-$275.53","-4.104405909105%","","-$275.53","Short Term","$6,713.03","No","","01/14/2026","$12,389.80","$485.19","3.916043842516%","","","$485.19","3.916043842515618%"
"OSCR","OSCAR HEALTH INC CLASS A","01/14/2026","11/07/2025","100","$16.90","$15.13","$1,689.65","$1,513.47","$176.18","11.640798958684%","","$176.18","Short Term","$1,513.47","No","","01/14/2026","$1,423.95","$265.70","18.659363039433%","","","$265.70","18.659363039432563%"
"PLTR","PALANTIR TECHNOLOGIE CLASS A","01/14/2026","01/05/2026","30","$175.34","$172.00","$5,260.19","$5,160.00","$100.19","1.941666666667%","","$100.19","Short Term","$5,160.00","No","","01/14/2026","","","","","","",""
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","01/14/2026","10/09/2025","400","$21.94","$21.00","$8,777.60","$8,400.00","$377.60","4.495238095238%","","$377.60","Short Term","$8,400.00","No","","01/14/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/12/2026","01/12/2026","200","$19.24","$18.82","$3,848.71","$3,765.00","$83.71","2.175014485373%","","$83.71","Short Term","$3,765.00","No","","01/09/2026","","","","","","",""
"SNDK","SANDISK CORP","01/09/2026","01/07/2026","10","$379.55","$358.30","$3,795.50","$3,583.00","$212.50","5.930784259001%","","$212.50","Short Term","$3,583.00","No","","01/09/2026","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE CLASS A","01/07/2026","01/05/2026","30","$178.25","$172.00","$5,347.53","$5,160.00","$187.53","3.634302325581%","","$187.53","Short Term","$5,160.00","No","","01/07/2026","","","","","","",""
"COIN","COINBASE GLOBAL INC CLASS A","01/06/2026","12/03/2025","25","$254.73","$258.47","$6,368.13","$6,461.81","$0.00","0%","","$0.00","Short Term","$6,461.81","Yes","$93.68","01/06/2026","$6,282.00","$86.13","1.37106017192%","","","$86.13","1.3710601719197708%"
