"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/16/2026","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS CLASS A","400","$20.865","$0.08","$8345.92"
"01/16/2026 as of 01/15/2026","Bank Interest","","BANK INT ...526 TD BANK USA NA","","","","$0.17"
"01/15/2026","Sell","COIN","COINBASE GLOBAL INC CLASS CLASS A","50","$246.63","$0.01","$12331.49"
"01/14/2026","Sell","OSCR","OSCAR HEALTH INC CLASS CLASS A","100","$16.8967","$0.02","$1689.65"
"01/14/2026","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS CLASS A","400","$21.9442","$0.08","$8777.60"
"01/14/2026","Buy","DDOG","DATADOG INC CLASS A","50","$124.75","","-$6237.50"
"01/14/2026","Buy","KVYO","KLAVIYO INC","100","$26.82","","-$2682.00"
"01/14/2026","Buy","AFRM","AFFIRM HLDGS INC CLASS A","50","$71.795","","-$3589.75"
"01/14/2026","Sell","COIN","COINBASE GLOBAL INC CLASS CLASS A","50","$257.50","$0.01","$12874.99"
"01/14/2026","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","30","$175.34","$0.01","$5260.19"
"01/12/2026","Buy","SNOW","SNOWFLAKE INC CLASS CLASS A","20","$220.00","","-$4400.00"
"01/12/2026","Buy","AFRM","AFFIRM HLDGS INC CLASS A","20","$77.1068","","-$1542.14"
"01/12/2026","Buy","AFRM","AFFIRM HLDGS INC CLASS A","50","$76.2899","","-$3814.50"
"01/09/2026","Buy","CCCX","CHURCHILL CAPITAL FCLASS A","200","$18.825","","-$3765.00"
"01/09/2026","Sell","SNDK","SANDISK CORP","10","$379.55","","$3795.50"
"01/09/2026","Sell Short","CCCX","CHURCHILL CAPITAL FCLASS A","200","$19.2437","$0.03","$3848.71"
"01/08/2026","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$45.10"
"01/08/2026","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$214.76"
"01/08/2026","Buy","SNDK","SANDISK CORP","5","$319.8637","","-$1599.32"
"01/08/2026","Buy","CHYM","CHIME FINL INC CLASS A","200","$26.99","","-$5398.00"
"01/08/2026","Buy","COIN","COINBASE GLOBAL INC CLASS CLASS A","100","$247.796","","-$24779.60"
"01/07/2026","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","30","$178.251","","$5347.53"
"01/07/2026","Buy","SNDK","SANDISK CORP","15","$358.30","","-$5374.50"
"01/06/2026","Sell","COIN","COINBASE GLOBAL INC CLASS CLASS A","25","$248.12","","$6203.00"
"01/06/2026","Sell","SOFI","SOFI TECHNOLOGIES INC","200","$26.735","$0.03","$5346.97"
"01/06/2026","Sell","COIN","COINBASE GLOBAL INC CLASS CLASS A","25","$254.725","","$6368.13"
"01/05/2026","Sell","SOFI","SOFI TECHNOLOGIES INC","300","$29.4735","$0.05","$8842.00"
"01/05/2026","Sell","AFRM","AFFIRM HLDGS INC CLASS A","20","$80.2856","","$1605.71"
"01/05/2026","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","60","$172.00","","-$10320.00"
"01/02/2026","Buy","KVYO","KLAVIYO INC","500","$29.50","","-$14750.00"
"01/02/2026","Sell","ROKU","ROKU INC CLASS A","65","$109.021","$0.01","$7086.36"
"01/02/2026","Sell","KVYO","KLAVIYO INC","1,000","$29.68","$0.17","$29679.83"
"12/31/2025","Qualified Dividend","AVGO","BROADCOM INC","","","","$0.65"
"12/31/2025","Sell","KLAR","KLARNA GROUP PLC F","225","$29.0102","$0.04","$6527.26"
"12/30/2025","Sell","KLAR","KLARNA GROUP PLC F","200","$29.3215","$0.03","$5864.27"
"12/22/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$251.28","","-$12564.00"
"12/19/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$240.8914","$0.01","$12044.56"
"12/18/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","200","$25.5099","","-$5101.98"
"12/17/2025","Buy","NFLX","NETFLIX INC","50","$96.0798","","-$4803.99"
"12/16/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","50","$72.4676","$0.01","$3623.37"
"12/16/2025","Sell","ROKU","ROKU INC CLASS A","35","$108.13","$0.01","$3784.54"
"12/16/2025 as of 12/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$0.63"
"12/16/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$247.3164","","-$12365.82"
"12/15/2025","Qualified Dividend","GOOG","ALPHABET INC CLASS CLASS C","","","","$44.10"
"12/12/2025","Buy","NFLX","NETFLIX INC","100","$95.24","","-$9524.00"
"12/12/2025","Sell","AVGO","BROADCOM INC","15","$363.64","","$5454.60"
"12/11/2025","Buy","AVGO","BROADCOM INC","15","$418.00","","-$6270.00"
"12/11/2025","Buy","SNOW","SNOWFLAKE INC CLASS CLASS A","20","$220.409","","-$4408.18"
"12/10/2025","Buy","JMIA","JUMIA TECHNOLOGIES AG FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","1","$12.5999","","-$12.60"
"12/10/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$272.9476","$0.01","$13647.37"
"12/05/2025","Long Term Cap Gain Reinvest","FCNTX","FIDELITY CONTRAFUND","","","","$1.02"
"12/05/2025","Reinvest Shares","FCNTX","FIDELITY CONTRAFUND","0.043","$23.97","","-$1.02"
"12/05/2025","Buy","BAND","BANDWIDTH INC CLASS A","100","$14.94","","-$1494.00"
"12/05/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","50","$68.30","","-$3415.00"
"12/05/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$271.95","","-$13597.50"
"12/04/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$272.76","$0.01","$13637.99"
"12/04/2025","Buy","SNOW","SNOWFLAKE INC CLASS CLASS A","20","$234.7805","","-$4695.61"
"12/04/2025","Buy","SNOW","SNOWFLAKE INC CLASS CLASS A","20","$243.82","","-$4876.40"
"12/02/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","50","$67.3332","$0.01","$3366.65"
"12/02/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$268.00","","-$13400.00"
"12/02/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$268.48","$0.01","$13423.99"
"12/01/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","25","$255.715","","-$6392.88"
"12/01/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$69.64","$0.02","$6963.98"
"12/01/2025","Sell","OSCR","OSCAR HEALTH INC CLASS CLASS A","300","$17.5425","$0.05","$5262.70"
"12/01/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","75","$261.8301","$0.01","$19637.25"
"11/24/2025","Sell","OSCR","OSCAR HEALTH INC CLASS CLASS A","400","$16.21","$0.07","$6483.93"
"11/19/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$16.9352","","-$1693.52"
"11/19/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","100","$262.99","","-$26299.00"
"11/18/2025","Buy","KLAR","KLARNA GROUP PLC F","100","$31.9812","","-$3198.12"
"11/18/2025","Buy","ROKU","ROKU INC CLASS A","35","$93.7453","","-$3281.09"
"11/18/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$89.8419","","-$4492.10"
"11/18/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","300","$66.5312","$0.05","$19959.30"
"11/17/2025","Buy","OSCR","OSCAR HEALTH INC CLASS CLASS A","400","$14.2395","","-$5695.80"
"11/17/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","500","$68.4341","","-$34217.05"
"11/17/2025","Sell","NVDA","NVIDIA CORP","100","$185.19","$0.02","$18518.98"
"11/17/2025","Sell","DDOG","DATADOG INC CLASS A","90","$184.2975","$0.01","$16586.77"
"11/17/2025","Sell","NVDA","NVIDIA CORP","100","$187.029","$0.02","$18702.88"
"11/17/2025 as of 11/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$2.85"
"11/17/2025 as of 11/14/2025","Stock Split","NFLX","NETFLIX INC","9","$111.217","",""
"11/14/2025","Buy","DDOG","DATADOG INC CLASS A","90","$183.8281","","-$16544.53"
"11/14/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$70.7951","$0.02","$7079.49"
"11/13/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","100","$28.735","","-$2873.50"
"11/13/2025","Buy","NVDA","NVIDIA CORP","10","$186.31","","-$1863.10"
"11/13/2025","Buy","KLAR","KLARNA GROUP PLC F","75","$35.055","","-$2629.13"
"11/13/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$70.5699","","-$7056.99"
"11/13/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","200","$18.885","","-$3777.00"
"11/13/2025","Buy","NVDA","NVIDIA CORP","20","$188.305","","-$3766.10"
"11/13/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","40","$179.3505","$0.01","$7174.01"
"11/11/2025","Buy","CRWV","COREWEAVE INC CLASS CLASS A","50","$91.45","","-$4572.50"
"11/11/2025","Sell Short","CRWV","COREWEAVE INC CLASS CLASS A","50","$94.1951","$0.01","$4709.75"
"11/10/2025","Buy","KLAR","KLARNA GROUP PLC F","100","$36.555","","-$3655.50"
